method,game,seed,bin,return
Reborn + Harmony,alien,0,0,185.71428571428572
Reborn + Harmony,alien,0,1,217.14285714285714
Reborn + Harmony,alien,0,2,201.25
Reborn + Harmony,alien,0,3,256.6666666666667
Reborn + Harmony,alien,0,4,215.0
Reborn + Harmony,alien,0,5,225.55555555555554
Reborn + Harmony,alien,0,6,283.75
Reborn + Harmony,alien,0,7,255.0
Reborn + Harmony,alien,0,8,286.25
Reborn + Harmony,alien,0,9,332.5
Reborn + Harmony,alien,0,10,346.25
Reborn + Harmony,alien,0,11,447.5
Reborn + Harmony,alien,0,12,417.14285714285717
Reborn + Harmony,alien,0,13,535.7142857142857
Reborn + Harmony,alien,0,14,525.7142857142857
Reborn + Harmony,alien,0,15,402.85714285714283
Reborn + Harmony,alien,0,16,522.8571428571429
Reborn + Harmony,alien,0,17,457.14285714285717
Reborn + Harmony,alien,0,18,582.8571428571429
Reborn + Harmony,alien,0,19,655.0
Reborn + Harmony,amidar,0,0,1.875
Reborn + Harmony,amidar,0,1,3.111111111111111
Reborn + Harmony,amidar,0,2,22.88888888888889
Reborn + Harmony,amidar,0,3,12.846153846153847
Reborn + Harmony,amidar,0,4,30.0
Reborn + Harmony,amidar,0,5,56.5
Reborn + Harmony,amidar,0,6,60.0
Reborn + Harmony,amidar,0,7,62.333333333333336
Reborn + Harmony,amidar,0,8,77.33333333333333
Reborn + Harmony,amidar,0,9,65.33333333333333
Reborn + Harmony,amidar,0,10,71.375
Reborn + Harmony,amidar,0,11,76.66666666666667
Reborn + Harmony,amidar,0,12,82.0
Reborn + Harmony,amidar,0,13,82.2
Reborn + Harmony,amidar,0,14,106.33333333333333
Reborn + Harmony,amidar,0,15,106.16666666666667
Reborn + Harmony,amidar,0,16,118.2
Reborn + Harmony,amidar,0,17,99.33333333333333
Reborn + Harmony,amidar,0,18,89.5
Reborn + Harmony,amidar,0,19,111.25
Reborn + Harmony,assault,0,0,247.33333333333334
Reborn + Harmony,assault,0,1,225.0
Reborn + Harmony,assault,0,2,399.0
Reborn + Harmony,assault,0,3,466.2
Reborn + Harmony,assault,0,4,380.625
Reborn + Harmony,assault,0,5,366.0
Reborn + Harmony,assault,0,6,327.0
Reborn + Harmony,assault,0,7,466.2
Reborn + Harmony,assault,0,8,436.8
Reborn + Harmony,assault,0,9,567.0
Reborn + Harmony,assault,0,10,423.5
Reborn + Harmony,assault,0,11,399.0
